"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[5,10)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[10,15)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[15,20)",0.0712662800690248,0.037990470506941,0.0720668844479788,0.664069987033778,0.593763477901027,0.502655467165817,0.386195080734406,0.254700482796511,0.346470017040808,0.377460334845181,0.305079987876447,0.212868128015121,0.0571020523552147,0.0648156262629676,0.104009057247863,0.0125928753285637
"[20,25)",0.0721813404729556,0.0623789578837847,0.0253529243097869,0.313928366786557,0.959069012003434,0.731143406632404,0.594559320958805,0.34966498551653,0.283154111977922,0.395310571063355,0.41982118078678,0.255723555903916,0.144064998809493,0.114594430923933,0.0780410565697473,0.131533863501822
"[25,30)",0.150752056855713,0.0966712818553338,0.0457677702802943,0.119699649993187,0.450235653331538,0.753205874415475,0.65106567386031,0.397236366251631,0.283401608401895,0.284983170890336,0.452613254956968,0.2760792830674,0.166324022367216,0.145470294480116,0.104117216068642,0.114743315128397
"[30,35)",0.163938277970688,0.220179819216922,0.100010111568691,0.130400473569228,0.362480710163986,0.562027376200085,0.808043273966137,0.529676759399708,0.367169876710325,0.340449931753195,0.395031096469339,0.419004989435792,0.257598739831282,0.201542194999296,0.132788194408716,0.126034528168747
"[35,40)",0.119696800634707,0.279145691881869,0.189924900191434,0.200378548274367,0.371908421104189,0.420951293280813,0.568235651937582,0.592870625108663,0.431946498598387,0.408690164534808,0.407175874444691,0.285066958971865,0.260622920125735,0.288612239673277,0.148561991936295,0.128667575012358
"[40,45)",0.0597825675611627,0.178759013329685,0.214561700728262,0.210727017433458,0.228526951346035,0.211511725122366,0.280314684603255,0.326036278826969,0.457492601349541,0.401059554829832,0.310273852043601,0.221412319209168,0.17943235580017,0.225459899814208,0.20943398656257,0.177128558909423
"[45,50)",0.0656670298652567,0.099224117284615,0.115412502388804,0.159146441557258,0.300439995244549,0.342024310695155,0.358137052466617,0.335377819235909,0.38818309754894,0.57141012675222,0.554756963847413,0.310650525582564,0.175861677009282,0.16087316455376,0.131252627785521,0.201002483483241
"[50,55)",0.0965614873650392,0.106845887164098,0.0790348600608798,0.101348395025098,0.279595056019587,0.440292346059595,0.434220887630192,0.304194306031978,0.266236183454428,0.362296798683044,0.6427920787782,0.458382717785705,0.251368813417266,0.168386981026488,0.10146084946342,0.225416056073546
"[55,60)",0.10026810593604,0.144676889909024,0.0781018023424303,0.0742064915957142,0.161851048366622,0.273031788271509,0.476193041327298,0.317861837763759,0.209296901105392,0.258364540534277,0.368741699243316,0.48440522300596,0.327229162057876,0.20798951649049,0.112055209791361,0.239507614165708
"[60,65)",0.0897174790049283,0.146663316373891,0.0876201976325595,0.0728666274663652,0.130999475777415,0.204269226833481,0.373224360014759,0.37737767674935,0.208594721916851,0.197149142216847,0.254011747343531,0.30104091184905,0.50167098905896,0.377531248324628,0.149323530963975,0.301715940668726
"[65,70)",0.0244330396311431,0.186299703251637,0.283677771635566,0.172995232423003,0.0347362206868238,0.0652366714708351,0.115239592826971,0.438327313047719,0.306474451581124,0.473844797614541,0.11946834845988,0.31488019862215,0.316483174033129,0.472334064196977,0.214470265428444,0.364424850612909
"[70,75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
