"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"[5,10)",0.227042077608755,6.29169442331187,1.70262955175274,0.325741636280592,0.858310523295623,1.23211530514462,1.85979251507742,1.69561648497577,0.865428063025701,1.1139072678589,0.623072547356872,0.454155502562926,0.594830686198956,0.534994058819664,0.106093467790641,0.0612793760836263
"[10,15)",0,1.87226778531926,28.2004525245996,2.53747730374201,0.718942352582058,1.90516268943475,1.56334364002011,1.20340390002155,2.05304122674711,1.69828399949723,1.21704560798678,0.408418641815701,0.369427458162752,0.475385064282123,0.144622118078,0
"[15,20)",0.0815631719072121,0.151823983592946,0.17113864927642,11.5093450544124,1.07775364285697,0.249552001876692,1.31888644607027,0.475627172191414,0.876268877622206,0.908567896800482,0.389104828736795,0.17486475959541,0.166801575445538,0.0815631719072121,0.163126343814424,0.501117447224258
"[20,25)",0.0794274848818192,0.153690858161446,0.0677205512925327,0.67706988075564,1.92072087321004,1.61853196614187,1.925507373947,1.25825092511548,2.16054069807901,0.797165537335042,0.349806783644632,0.384119325291152,0,0.0711071524364868,0,0.0888924957481459
"[25,30)",0.275540208157855,0,0.181621760592349,0,2.35375607072666,3.1610151678387,2.97685209235209,0.808496865063042,0.449118631368631,0.533642021377315,0.725032947444712,0.84492693254458,0.53955540374658,0,0,0.0939184475655063
"[30,35)",0.186751198279851,0.784115805153559,1.54138881854047,0.734852822874329,1.71189373148515,4.04239752851911,4.18648005893495,3.19557745586191,1.58625999575979,1.42230177556399,0.927619830903757,0.99012242126162,0.917570934502022,0.707907201865345,0.436554304662826,0.450019709229516
"[35,40)",0.0821827299744319,0.591609132276744,0.210255583143009,0.49202109818826,1.16281273855501,2.05693116779643,2.63902869398509,2.82943543146139,1.4985283921592,1.93778561469341,1.72522387552616,0.90896326124184,0.575133577704571,0.546668883706819,0.0810134188338607,0.091330371038555
"[40,45)",0,0.334315868771751,0.313094592499004,0.879219059535236,2.4934698659184,3.63888245822805,4.51708143816967,3.9572441822883,2.55094728147669,2.33993541833983,1.39338142576378,1.54484856156915,1.43328641701436,1.22285458740606,0.67651414108767,3.53604881393117
"[45,50)",0,4.27780635147222,2.45463662311537,0.408539779474276,0.52891534093141,1.56111568434295,2.50604395015328,1.13692689665519,0.628733577405454,1.39121421045975,0.963153079307659,1.2852488770932,0.754717726975467,0.414792751220601,0.383277152897879,0.398516912463406
"[50,55)",0.0968031812081019,0.31614469597971,0.220423420177533,0.259732067090586,1.2768718204964,1.998575180946,1.99991257739831,1.77415566678225,2.33111597895725,1.93512218694738,2.4262073035522,1.56802065843015,0.542986284913582,0.425033950282148,0.552787278031435,0.534820762056977
"[55,60)",0.182216729907519,0,0.119571307347623,0.146770615349563,0.180964889642521,1.35857077936683,2.60951853117643,2.41300249019986,1.51082693622167,1.49796573309731,0.998626024560235,1.38134809269678,0.51073144545513,0.277729531433479,0,0
"[60,65)",0,0,0,0,0,0.131013514263514,0.579688533688534,0,0,0.315127997002997,0.112626998001998,0.448386696636697,0.191863844488844,0,0.238774156399156,0.253332861582862
"[65,70)",0.208497988122988,0.443435841935842,0.217574203574203,0.108787101787102,0.0997108863358863,0.326361305361305,0.108787101787102,0.876321789321789,0.435148407148407,0.326361305361305,0.217574203574203,0.31728508991009,0.346195485070485,0.872944097569098,0.452072108447109,0.435148407148407
"[70,75)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"75+",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
