"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",0.0962439491535359,0.153414841075932,0.0973219147302364,0.0691996747544213,0.131386713569211,0.284939926919928,0.504649399731015,0.44147112783,0.210493436125316,0.183620761298597,0.255593726293156,0.249114959955466,0.226117817235071,0.216745884670196,0.106117922074906,0.107801008884454
"[5,10)",0.0806991333673829,0.129128467923383,0.0944667927860804,0.0666952154833367,0.108140911425554,0.167313808872134,0.410898206515475,0.547956492482301,0.32858423916869,0.167435742315755,0.157417313816678,0.205553608387409,0.20759731134288,0.245436342650669,0.121687408813431,0.0922141858250995
"[10,15)",0.0627471480712056,0.145710414523143,0.097165508653542,0.0512664947277532,0.0841562863518513,0.126285808065008,0.207789717416523,0.423861694890378,0.50457417741548,0.3004671246863,0.181334170033804,0.148011041509885,0.15692607415636,0.230855463444055,0.153419565371375,0.105353641618879
"[15,20)",0.0358588212291957,0.0556257284700146,0.0539116132878624,0.694362993441223,0.544968145085938,0.350039298763312,0.347292031233239,0.28135857238578,0.378655854134886,0.3847174091736,0.315957438888143,0.174500373835307,0.103071587830122,0.114722372545992,0.103205406324329,0.09087950910435
"[20,25)",0.0463866686227138,0.0392594237684702,0.0334080638420429,0.298718360770337,1.11523203993334,0.713524915924694,0.527859591711773,0.336731914301847,0.283209890706065,0.383455783769972,0.395787453452486,0.23371097688595,0.134636555578258,0.0951907324860073,0.0590533890496528,0.0912936756893315
"[25,30)",0.0951702081414908,0.0673637698486271,0.0378839074154494,0.169150583800873,0.537045111079346,0.808157028613078,0.604902524665876,0.338224680661858,0.264452733398304,0.26883564845029,0.37846126404467,0.24023829397643,0.124768047719232,0.0925199065212183,0.0530128125662679,0.0704062758712085
"[30,35)",0.128108181279723,0.162207951219868,0.065385572533241,0.118740930827527,0.345256176932021,0.499875531298161,0.751834575009434,0.465073176020162,0.3166182439226,0.279525370336898,0.333116960611968,0.318209846121505,0.209787671445581,0.150000261809004,0.0744873284515304,0.0929286239902303
"[35,40)",0.0924006748858937,0.210424940958643,0.137128851475917,0.104767835416812,0.202049014352681,0.304882953284338,0.478203718093048,0.530070425355088,0.351359368937428,0.281775811374783,0.299427648654408,0.243301780530183,0.220898632098251,0.225573032657354,0.0999893980310056,0.0814233659650375
"[40,45)",0.063753767544308,0.148062589114785,0.176396156123029,0.226573459857091,0.264317860220808,0.286770243137836,0.394356918545837,0.439375520030934,0.521058769129658,0.461163784244121,0.407247279771213,0.276901273770664,0.169234107315358,0.206550439218711,0.153291022698018,0.116068054416033
"[45,50)",0.051546389952594,0.0806428469055832,0.0877434496634864,0.143264086485207,0.309488546153773,0.342427972254089,0.36751029083658,0.341046316478119,0.377984023263591,0.624194511864519,0.591801308688362,0.371328465722477,0.15902205889586,0.124436048062605,0.0981142999738073,0.132142605514664
"[50,55)",0.0632064958711925,0.0703116773964805,0.0558390643554034,0.0928039090624021,0.232277422849132,0.370141992355706,0.418344304186577,0.310436845784687,0.304615520614157,0.479930452182963,0.750313548778153,0.484767063307027,0.183049738875333,0.125991373717652,0.0695272493106324,0.153511838572916
"[55,60)",0.0751861510129795,0.100253757525449,0.057614473501537,0.0741589738529174,0.170466573850104,0.277844319999213,0.4523824907758,0.312607837034111,0.263018531349705,0.348566755224327,0.547389523905586,0.57878408613265,0.278597618440862,0.16442294191869,0.0785535834366015,0.186507284465931
"[60,65)",0.0745374310394728,0.124143468017351,0.0787436991955346,0.0635575682629498,0.0976210595637386,0.165129786935315,0.314775311187452,0.313405663338739,0.175672190377801,0.172690205072583,0.246102272274852,0.303303103487048,0.453351985379466,0.324282954530234,0.121348878922563,0.248108871492782
"[65,70)",0.0676794567943578,0.137409003813582,0.102483164828515,0.0613199258925719,0.0841134370330279,0.125403175581445,0.202272890395527,0.328965619482565,0.250904916287685,0.158391290128584,0.181620209694688,0.188239178359437,0.28381217576755,0.492320990466251,0.223463713999363,0.196560207473779
"[70,75)",0.0416004764436134,0.0994689296054444,0.0947879169236397,0.083324168355197,0.0822950601821106,0.115755927812874,0.160945731112809,0.213388345382379,0.270081897434489,0.199396899109339,0.160344842812109,0.145249486057351,0.154256694758783,0.327628240053667,0.389065183832083,0.296724058449748
"75+",0.0383079590644575,0.0736308015760127,0.0599918770649106,0.0600251559114248,0.108926274751528,0.138749026952826,0.18536697906539,0.156312241264959,0.169393062015313,0.227933605718331,0.291882816374596,0.285550890962169,0.270790397039702,0.242423282050916,0.2356161229186,0.622094936936942
