"","[0,5)","[5,10)","[10,15)","[15,20)","[20,25)","[25,30)","[30,35)","[35,40)","[40,45)","[45,50)","[50,55)","[55,60)","[60,65)","[65,70)","[70,75)","75+"
"[0,5)",0.165596392579233,0.176728996120834,0.091028964949262,0.0839099375416609,0.12743294685341,0.297474673853587,0.531007257200277,0.443035345462964,0.222398824983228,0.188884658358777,0.266088661235075,0.275936106265417,0.221131960860588,0.209831243853247,0.099252740635332,0.104033992924598
"[5,10)",0.088794631767084,0.344926261856208,0.136880240130434,0.0848193544376591,0.142994754379365,0.209176134025899,0.460353156662601,0.588947732995015,0.341762356396565,0.191919081203855,0.179358948930518,0.211796668028597,0.222152294852603,0.261910987365714,0.118785339259405,0.0957593221321875
"[10,15)",0.0671084748987458,0.173503027514951,0.441113404515065,0.0693239237675268,0.0983277083853451,0.157592541078086,0.246330353874828,0.45593845326197,0.528892038163636,0.32562035624019,0.190467467774821,0.146960798677648,0.159860473888794,0.22501323825651,0.157472913515035,0.100067726542335
"[15,20)",0.0412087237953551,0.0604957840244844,0.056261554919552,0.797601646641443,0.642868945306799,0.404201555179784,0.391977520301403,0.314075557469958,0.40550961450964,0.40684454891881,0.31903680623336,0.176635734565896,0.108246367642816,0.118918745397359,0.0993377156421034,0.0896887684335526
"[20,25)",0.055652653991788,0.0514342315400976,0.04599030155467,0.306098817874557,1.21747153953749,0.865400496027489,0.652092338017736,0.42280932686816,0.346731341418028,0.419669609542145,0.415475501117656,0.263958077311882,0.140105254016673,0.106160723346244,0.0654257968690162,0.0872907951583089
"[25,30)",0.110612851666585,0.089061315716538,0.0591350319850976,0.19850387591548,0.59177389574962,0.931362807330261,0.749211439496637,0.452034838073231,0.341078319279507,0.354091421227194,0.449364547887244,0.288586444915989,0.153697096384293,0.112437953949018,0.0684502775975758,0.0897717193732544
"[30,35)",0.139616269838909,0.181111342796772,0.0811949869625461,0.136222042871167,0.4030104139736,0.612659072827691,0.88691945416154,0.570167563147486,0.395491233937843,0.354718567892115,0.400322943969005,0.368842337611614,0.227191886498389,0.165538970478936,0.0827706696101213,0.104447566232866
"[35,40)",0.106242196337602,0.228532584992967,0.151937735055936,0.134353712859425,0.266572283980356,0.396152483166787,0.601044765699181,0.645602114421782,0.451197809718993,0.364177456869055,0.396854495190137,0.300019123520629,0.251510134304376,0.251648835287425,0.115607519641176,0.098869910112797
"[40,45)",0.0764795513951881,0.159441075866785,0.194110966416778,0.239272233784092,0.326973379286962,0.382783340861278,0.499217318050505,0.535021164594428,0.613788078234041,0.551994516757802,0.482280104833598,0.341183132936014,0.203315169117569,0.237946771351836,0.166950618984476,0.140612039426341
"[45,50)",0.0612181760111064,0.100294405943165,0.101804713628761,0.152765912710877,0.318263076836912,0.37639389399357,0.416461255829002,0.394965916880959,0.436139249201227,0.66932982369978,0.617431598805437,0.385842344745391,0.17983007326474,0.142946387363114,0.110483098837314,0.151152587590925
"[50,55)",0.0713241844164153,0.0802172669805176,0.0605647443666852,0.108472812548503,0.260248085924342,0.415082813642451,0.461936368448643,0.343833545465824,0.351053171652118,0.512941708050377,0.807127080103295,0.517679473817289,0.206937219893632,0.134736485065418,0.0825283380864741,0.17324498325179
"[55,60)",0.0819336517156864,0.112715654736137,0.0634722837692328,0.0795421629079872,0.192334654089335,0.308543795922494,0.499314975851881,0.355516118452207,0.293670391028704,0.384530943466042,0.597796798222995,0.625288000414083,0.297937768570601,0.18455619136914,0.0918953772558055,0.207155655590835
"[60,65)",0.0795774127569853,0.129392999955805,0.0845096211343813,0.0731403971718283,0.12862215993008,0.193992339424184,0.354870173040326,0.358788217541727,0.208972303906553,0.215905175478242,0.288735234083666,0.335224193800089,0.476543781110539,0.340006346737263,0.130755230626249,0.264629530381182
"[65,70)",0.0707118780301501,0.139306946389009,0.107333434876493,0.0712070785809797,0.0939753024346838,0.142564917871481,0.222318887038838,0.345210379115211,0.273953116155864,0.174039628947867,0.206595746596988,0.208825341005254,0.298302453054218,0.499985926107601,0.23216729298837,0.20577025168417
"[70,75)",0.0432116039868434,0.104067593359471,0.102943433925116,0.0849476646607155,0.0972295713323985,0.131654183434642,0.179723719512326,0.232342336743309,0.290640482182596,0.217103523228913,0.185796754669487,0.165074869568185,0.180452068203711,0.347078463892923,0.394408625817696,0.300472660498182
"75+",0.0416443717633798,0.080307955940131,0.0634000470845327,0.0620890336448489,0.11513554175449,0.147768752278495,0.201093802290381,0.17729059470347,0.185107188130955,0.246399733601638,0.310246624883272,0.305901078021388,0.287130254346476,0.263406738010326,0.24183963121692,0.606650583732228
